Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen;LOP
03.01.2000;1937;1950;1910;1920;4070;4955
04.01.2000;1865;1871;1829;1847;4255;4936
05.01.2000;1827;1839;1807;1811;5172;4694
06.01.2000;1802;1849;1784;1848;5220;4801
07.01.2000;1936;1998;1935;1982;5671;4918
10.01.2000;2090;2130;2074;2084;5827;5421
11.01.2000;2010;2070;1950;2042;5990;5622
12.01.2000;2015;2044;2010;2030;4312;5917
13.01.2000;2110;2148;2093;2135;5174;6033
14.01.2000;2080;2137;2075;2115;5024;5716
17.01.2000;2077;2120;2063;2120;4309;6023
18.01.2000;2140;2157;2040;2047;6560;5995
19.01.2000;2035;2044;2005;2036;5719;5936
20.01.2000;2058;2068;2007;2053;5975;5839
21.01.2000;2043;2077;2043;2071;3672;6266
24.01.2000;2035;2044;1981;1981;5805;5748
25.01.2000;1950;1960;1890;1925;7176;5632
26.01.2000;1925;1965;1910;1925;5705;6240
27.01.2000;1948;1965;1925;1957;6141;6424
28.01.2000;1970;1990;1910;1930;6413;6793
31.01.2000;1885;1903;1870;1897;5203;6914
01.02.2000;1986;1998;1930;1937;7129;6774
02.02.2000;1945;1984;1920;1983;5356;6864
03.02.2000;2060;2157;2060;2154;7456;6257
04.02.2000;2261;2298;2164;2190;10975;6040
07.02.2000;2224;2245;2140;2210;9786;6318
08.02.2000;2270;2270;2202;2269;8463;6199
09.02.2000;2346;2357;2152;2180;9723;6281
10.02.2000;2129;2210;2105;2179;9112;5944
11.02.2000;2225;2239;2115;2125;9912;5985
14.02.2000;2120;2150;2080;2143;6645;6449
15.02.2000;2167;2170;2105;2108;6773;6047
16.02.2000;2137;2145;2105;2126;5488;6165
17.02.2000;2106;2250;2106;2237;7677;6181
18.02.2000;2202;2275;2201;2230;9017;6173
21.02.2000;2192;2225;2192;2217;6197;6427
22.02.2000;2294;2294;2263;2275;5844;6472
23.02.2000;2314;2335;2230;2240;7814;6335
24.02.2000;2320;2330;2239;2282;7108;6651
25.02.2000;2210;2264;2200;2215;6627;6509
28.02.2000;2150;2178;2125;2160;7203;6261
29.02.2000;2190;2210;2166;2205;5669;6647
01.03.2000;2215;2259;2193;2255;6238;6892
02.03.2000;2250;2285;2236;2237;6299;7514
03.03.2000;2242;2304;2242;2299;6348;7190
06.03.2000;2313;2323;2292;2295;4125;7490
07.03.2000;2270;2317;2255;2300;4918;7623
08.03.2000;2283;2320;2283;2305;4631;7419
09.03.2000;2319;2337;2309;2331;4489;7682
10.03.2000;2405;2449;2405;2448;6701;7456
13.03.2000;2317;2350;2250;2285;6728;7826
14.03.2000;2373;2418;2350;2410;6876;7282
15.03.2000;2391;2397;2345;2378;7638;7158
16.03.2000;2390;2397;2360;2383;5431;6997
17.03.2000;2399;2403;2372;2377;3995;7112
20.03.2000;2373;2373;2354;2359;2549;5781
21.03.2000;2348;2354;2333;2352;3092;6019
22.03.2000;2364;2365;2345;2350;2936;6110
23.03.2000;2345;2378;2340;2378;2888;5985
24.03.2000;2410;2442;2406;2442;4505;6244
27.03.2000;2465;2468;2433;2438;2076;6187
28.03.2000;2435;2458;2428;2446;2558;6103
29.03.2000;2417;2421;2399;2417;3616;6020
30.03.2000;2325;2328;2290;2303;5801;5940
31.03.2000;2293;2316;2290;2314;3646;5854
03.04.2000;2290;2300;2231;2236;5588;5835
04.04.2000;2226;2243;2167;2234;7691;6025
05.04.2000;2230;2242;2131;2149;10027;6019
06.04.2000;2215;2222;2201;2209;4088;6001
07.04.2000;2225;2238;2206;2220;4477;6195
10.04.2000;2214;2222;2183;2187;3064;6514
11.04.2000;2126;2141;2106;2116;5495;6058
12.04.2000;2170;2175;2144;2153;4399;6150
13.04.2000;2139;2164;2139;2156;4015;6314
14.04.2000;2133;2148;2107;2120;4834;6818
17.04.2000;1950;1989;1920;1989;7729;6968
18.04.2000;1980;1992;1970;1981;4966;6605
19.04.2000;1990;1995;1953;1956;3819;6929
20.04.2000;1945;1970;1935;1968;4194;6845
25.04.2000;1940;1968;1940;1961;2542;7233
26.04.2000;1966;1980;1961;1962;2362;7199
27.04.2000;1963;1982;1915;1933;4276;7235
28.04.2000;2008;2014;1981;1990;4485;7103
04.05.2000;1980;1991;1944;1957;3689;7071
05.05.2000;1960;1969;1927;1944;3431;7360
08.05.2000;1933;1943;1905;1919;3255;7439
09.05.2000;1926;1935;1915;1931;3663;7696
10.05.2000;1934;1965;1931;1955;4346;7770
11.05.2000;1938;2017;1935;2000;6388;7609
12.05.2000;2025;2062;2007;2060;8463;6803
15.05.2000;2050;2050;2016;2019;4840;7049
16.05.2000;2060;2099;2045;2096;6722;6422
17.05.2000;2070;2077;2052;2064;5104;6903
18.05.2000;2060;2079;2052;2067;4363;7149
19.05.2000;2040;2045;2015;2029;6496;7168
22.05.2000;2021;2025;1974;1977;6328;7010
23.05.2000;1989;2000;1944;1951;6433;7231
24.05.2000;1911;1919;1887;1898;7449;6957
25.05.2000;1935;1940;1903;1913;4747;7063
26.05.2000;1870;1893;1860;1887;5372;6790
29.05.2000;1865;1941;1865;1938;6138;7061
30.05.2000;1940;1978;1938;1959;7778;6811
31.05.2000;1972;1994;1960;1983;5735;6777
01.06.2000;2006;2069;2006;2067;7653;6683
02.06.2000;2052;2093;2034;2085;7435;6256
05.06.2000;2075;2075;2053;2057;4216;6574
06.06.2000;2035;2038;1987;1990;6788;6580
07.06.2000;1988;2033;1976;2027;5931;6759
08.06.2000;2040;2067;2025;2027;7212;7092
09.06.2000;2035;2064;2023;2034;5408;7460
12.06.2000;2048;2048;2020;2020;3095;7447
13.06.2000;2009;2030;1998;2013;4152;7284
14.06.2000;2032;2060;2030;2045;4896;6912
15.06.2000;2054;2056;2033;2050;4096;6629
16.06.2000;2056;2064;2040;2044;3955;6634
19.06.2000;2041;2043;2016;2020;2883;4600
20.06.2000;2050;2066;2044;2065;4129;5051
21.06.2000;2055;2061;2041;2060;2642;5147
23.06.2000;2049;2059;2044;2056;1830;5130
26.06.2000;2054;2100;2052;2100;2916;5705
27.06.2000;2115;2130;2105;2116;5272;5950
28.06.2000;2105;2125;2092;2120;3451;5971
29.06.2000;2105;2108;2072;2073;4336;6056
30.06.2000;2085;2095;2061;2065;3691;5583
03.07.2000;2069;2100;2065;2082;2476;5700
04.07.2000;2100;2100;2084;2089;2423;5695
05.07.2000;2095;2110;2082;2090;3212;5852
06.07.2000;2070;2075;2060;2073;3360;5791
07.07.2000;2083;2085;2055;2070;3146;5882
10.07.2000;2080;2087;2063;2066;1862;5952
11.07.2000;2053;2057;2037;2048;3006;5697
12.07.2000;2056;2083;2051;2069;3643;5953
13.07.2000;2070;2090;2064;2079;3817;5927
14.07.2000;2086;2108;2083;2085;4068;5445
17.07.2000;2092;2105;2086;2086;2516;5856
18.07.2000;2081;2109;2076;2094;4081;6179
19.07.2000;2088;2125;2086;2108;4263;6158
20.07.2000;2110;2120;2103;2116;2260;6378
21.07.2000;2122;2131;2112;2119;3013;6421
24.07.2000;2110;2119;2108;2115;1829;6430
25.07.2000;2113;2115;2097;2108;1963;6329
26.07.2000;2106;2107;2074;2075;3998;6385
27.07.2000;2071;2073;2031;2057;5959;6116
28.07.2000;2032;2051;2032;2044;3132;6251
31.07.2000;2033;2037;2019;2029;3277;6343
01.08.2000;2033;2037;1985;1990;4607;6358
02.08.2000;1997;2020;1996;2006;3558;6491
03.08.2000;1990;1992;1954;1968;3717;6463
04.08.2000;1995;2004;1986;2003;2884;6436
07.08.2000;2003;2014;1989;1990;2235;6793
08.08.2000;1987;2000;1978;1998;2051;6921
09.08.2000;2026;2044;2020;2035;3368;6957
10.08.2000;2035;2043;1998;2002;4186;6841
11.08.2000;1980;1995;1955;1958;5427;6505
14.08.2000;1973;1975;1952;1965;2216;6767
16.08.2000;1970;1977;1964;1974;1808;7050
17.08.2000;1945;1949;1915;1926;3949;7184
18.08.2000;1934;1940;1868;1890;5547;7293
21.08.2000;1875;1880;1850;1880;4695;7587
22.08.2000;1895;1899;1873;1879;3163;7611
23.08.2000;1865;1908;1857;1882;6014;7745
24.08.2000;1895;1913;1895;1902;3531;7913
25.08.2000;1914;1929;1907;1915;4164;8027
28.08.2000;1923;1925;1887;1887;3268;8385
29.08.2000;1875;1878;1862;1874;3372;8057
30.08.2000;1872;1894;1863;1892;4524;8379
31.08.2000;1900;1925;1897;1925;4846;8156
01.09.2000;1947;1968;1933;1963;6851;7988
04.09.2000;1976;1980;1943;1945;3974;8321
05.09.2000;1939;1948;1927;1935;3957;8109
06.09.2000;1937;1942;1919;1936;3436;8418
07.09.2000;1926;1931;1901;1913;4720;8124
08.09.2000;1919;1919;1895;1895;3930;8207
11.09.2000;1876;1883;1871;1880;3048;8176
